id;title;external_id;device_type_id;device_type_title;emtec_code;training_mandatory;software_version;manufacturer_id;manufacturer;end_of_service;end_of_life;ce_marking;ce_notified_body;responsible_5_mpg;according_to_annex;risk_class;active_device;udi_di
5f7b1083edba93118beaab8c;TuR RS 40;;5f7b004aedba93118be9d296;Reizstromgerät;;Ja;;64b653c2f5fc38000e51c8d3;TuR Elektromedizin GmbH;;;Ja;;TuR Elektromedizin GmbH;1;II;Ja;
5f7b1083edba93118beaab98;TuR USR 2;;5f7b007cedba93118be9d315;Reizstromgerät, RS US;;Ja;;64b653c2f5fc38000e51c8d3;TuR Elektromedizin GmbH;;;Ja;;TuR Elektromedizin GmbH;1;II;Ja;
5fbce867fa2bdde7f42e50c6;Tymp 31;;5f7b0059edba93118be9d2bc;Tympanometer;;Ja;;67920008c017c7ba4e84ea14;ATMOS MedizinTechnik GmbH & Co. KG;;;Ja;0123;ATMOS MedizinTechnik GmbH & Co. KG;;I;Ja;
5f7b108bedba93118beaac05;Typ 002 - VAC;;5f7affa9edba93118be9d102;Absauggerät (ZGV);;Ja;;65bcb43b4b60dd0e34d897a3;WEINMANN Emergency Medical Technology GmbH + Co. KG;;;Ja;;WEINMANN Emergency Medical Technology GmbH + Co. KG;;I;Ja;
68e7be46aff236ddbbac1749;U-MDOB;;5f7affaaedba93118be9d106;Mikroskop;;Ja;;64b653b0f5fc38000e51c62b;Olympus Europa SE & Co. KG;;;Ja;;Olympus Deutschland GmbH;;I;Ja;
5f7b108dedba93118beaac21;U14 H;;5f7affc2edba93118be9d143;Operationstisch, Tischplatte;;Ja;;64b65384f5fc38000e51bfa6;Baxter Medical Systems GmbH & Co. KG;;;Ja;;Hill-Rom GmbH;;I;Ja;
5f7b108eedba93118beaac2b;U24;;5f7affc2edba93118be9d143;Operationstisch, Tischplatte;;Ja;;64b65384f5fc38000e51bfa6;Baxter Medical Systems GmbH & Co. KG;;;Ja;;Baxter Medical Systems GmbH & Co. KG;;I;Ja;
5f7b108eedba93118beaac2d;U26;;5f7affc2edba93118be9d143;Operationstisch, Tischplatte;;Ja;;64b65384f5fc38000e51bfa6;Baxter Medical Systems GmbH & Co. KG;;;Ja;;Baxter Medical Systems GmbH & Co. KG;;I;Ja;
5f7b1090edba93118beaac50;UD 150 L-F;;5f7affa8edba93118be9d100;Röntgen, Generator;;Ja;;64b653bbf5fc38000e51c7e2;Shimadzu Deutschland GmbH;;;Ja;;Shimadzu Deutschland GmbH;;I;Ja;
606fb7630e6791017cdb6aff;UD150B-40;;5f7affa8edba93118be9d100;Röntgen, Generator;;Ja;;64b653bbf5fc38000e51c7e2;Shimadzu Deutschland GmbH;;;Ja;;Shimadzu Deutschland GmbH;;I;Ja;
5f7b1094edba93118beaac81;UEC 1 Mikrozentrifuge;;5f7affbcedba93118be9d133;Zentrifuge;;Ja;;64b653c3f5fc38000e51c8ed;UniEquip Laborgerätebau und Vertriebs GmbH;;;Ja;;UniEquip Laborgerätebau und Vertriebs GmbH;;I;Ja;
5f7b1093edba93118beaac74;UEC 1 Speedy Mouse;;5f7affbcedba93118be9d133;Zentrifuge;;Ja;;64b653c3f5fc38000e51c8ed;UniEquip Laborgerätebau und Vertriebs GmbH;;;Ja;;UniEquip Laborgerätebau und Vertriebs GmbH;;I;Ja;
5f7b1095edba93118beaac91;UF-4000 FF Sonic;;607594ab0e6791017cdbbef1;Ultraschalldiagnosegerät (low);;Ja;;64b65393f5fc38000e51c21c;Fukuda Denshi Co., Ltd.;;;Ja;0086;Fukuda Denshi Co., Ltd.;;I;Ja;
5f7b1098edba93118beaacb7;UGK 6400;;5f7affd8edba93118be9d174;Kühlschrank, Medikamente;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Liebherr-International Deutschland GmbH;;I;Ja;
5f7b109bedba93118beaace1;UHI-4;;5f7affd4edba93118be9d16a;Insufflationsgerät;;Ja;;64b653b0f5fc38000e51c62c;Olympus Medical Systems Corp.;;;Ja;0197;Olympus Optical Co. GmbH;;I;Ja;
5f7b109fedba93118beaad16;UI400 ENDOFLATOR 40;;5f7affd4edba93118be9d16a;Insufflationsgerät;;Ja;;5d3ae809a159c577ac4b826e;KARL STORZ GmbH & Co. KG;;;Ja;0123;KARL STORZ GmbH & Co. KG;;I;Ja;
5f7b1099edba93118beaaccf;UKS 1800;;5f7affd8edba93118be9d174;Kühlschrank, Medikamente;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Liebherr-International Deutschland GmbH;;I;Ja;
5f7b109aedba93118beaacd2;UKS 2600;;5f7affd8edba93118be9d174;Kühlschrank, Medikamente;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Liebherr-International Deutschland GmbH;;I;Ja;
5f7b109cedba93118beaacee;UKS 2602;;5f7affd1edba93118be9d163;Kühlschrank, Labor;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Liebherr-International Deutschland GmbH;;I;Ja;
5f7b109bedba93118beaace8;UKS 3600-11;;5f7affd8edba93118be9d174;Kühlschrank, Medikamente;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Liebherr-International Deutschland GmbH;;I;Ja;
5f7b109aedba93118beaacda;UKS 5000;;5f7affd1edba93118be9d163;Kühlschrank, Labor;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Liebherr-International Deutschland GmbH;;I;Ja;
5f7b109aedba93118beaacd4;UKS 570 W;;5f7affd1edba93118be9d163;Kühlschrank, Labor;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Liebherr-International Deutschland GmbH;;I;Ja;
5f7b109bedba93118beaace2;UKu 1800;;5f7affd8edba93118be9d174;Kühlschrank, Medikamente;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Liebherr-International Deutschland GmbH;;I;Ja;
5f7b109bedba93118beaace3;UKu 1805;;5f7affd8edba93118be9d174;Kühlschrank, Medikamente;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Liebherr-International Deutschland GmbH;;I;Ja;
5f7b10aeedba93118beaade4;UNIMAG ARE;;5f7affa6edba93118be9d0fb;Labor, Mischgerät/Rüttler/Dispergierer;;Ja;;64b653c3f5fc38000e51c8ed;UniEquip Laborgerätebau und Vertriebs GmbH;;;Ja;;UniEquip Laborgerätebau und Vertriebs GmbH;;I;Ja;
5f7b10aeedba93118beaade8;UNIMAG ZX3;;5f7affa6edba93118be9d0fb;Labor, Mischgerät/Rüttler/Dispergierer;;Ja;;64b653c3f5fc38000e51c8ed;UniEquip Laborgerätebau und Vertriebs GmbH;;;Ja;;UniEquip Laborgerätebau und Vertriebs GmbH;;I;Ja;
68e38126aff236ddbbab8e17;UNIUM Modular Handpiece (05.001.601);;5f7affb1edba93118be9d117;Chirurgisches Bohrgerät (Akku/elektrisch);;Ja;;64b653b8f5fc38000e51c773;SYNTHES GmbH;;;Ja;0123;SYNTHES GmbH;1;II;Ja;"07611819654174 "
60c415b66aebb9018b5318c1;UPP-110;;5f7b007eedba93118be9d319;Printer, Video;;Ja;;64b653b7f5fc38000e51c75d;SONY Corporation;;;Ja;;SONY Deutschland GmbH;;I;Ja;04548736025370
5f7b10ccedba93118beaaf88;US-2500;;5f7b0027edba93118be9d23e;Ultraschallgerät, Doppler;;Ja;;687c112f5c3947286838f0a5;NIDEK Co., Ltd.;;;Ja;;NIDEK Co., Ltd.;;I;Ja;
5f7b10cbedba93118beaaf7c;US-2520;;5f7b0027edba93118be9d23e;Ultraschallgerät, Doppler;;Ja;;687c112f5c3947286838f0a5;NIDEK Co., Ltd.;;;Ja;;NIDEK Co., Ltd.;;I;Ja;
5f7b10d9edba93118beab041;UST-9130;;5f7affb5edba93118be9d120;Ultraschallsonde;;Ja;;5d3ae807a159c577ac4b825c;Aloka Deutschland GmbH;;;Ja;0123;Hitachi Medical Systems Deutschland GmbH;;I;Ja;04562122955553
5f7b10d9edba93118beab037;UV-1202;;5f7affa4edba93118be9d0f5;Labor, Photometer;;Ja;;64b653bbf5fc38000e51c7e2;Shimadzu Deutschland GmbH;;;Ja;;Shimadzu Deutschland GmbH;;I;Ja;
5f7b10daedba93118beab04e;UV-160;;5f7affa4edba93118be9d0f5;Labor, Photometer;;Ja;;64b653bbf5fc38000e51c7e2;Shimadzu Deutschland GmbH;;;Ja;;Shimadzu Deutschland GmbH;;I;Ja;
5f7b10d9edba93118beab03a;UV-1800;;5f7affa4edba93118be9d0f5;Labor, Photometer;;Ja;;64b653bbf5fc38000e51c7e2;Shimadzu Deutschland GmbH;;;Ja;;Shimadzu Deutschland GmbH;;I;Ja;
5f7b109dedba93118beaad01;Ulmer Koffer;;5f7b002cedba93118be9d24b;Notfalleinheit;;Ja;;65bcb43b4b60dd0e34d897a3;WEINMANN Emergency Medical Technology GmbH + Co. KG;;;Ja;;WEINMANN Emergency Medical Technology GmbH + Co. KG;;I;Ja;
5f7b10a9edba93118beaad9e;Ultraview SL3800;;5f7b0018edba93118be9d219;Pat.-Überw., Zentrale;;Ja;;5d3ae8e8a159c577fd9b78ca;Spacelabs Healthcare GmbH;;;Ja;0123;Spacelabs Healthcare GmbH;;I;Ja;
68ea2a3faff236ddbbac55bc;Ultreon™;;5f7b000eedba93118be9d1fd;Software, Kardiologie;;Ja;SW 1.0;68ea2a35aa7e4768740f35cb;Abbott Vascular International BVBA;;;Ja;;Abbott Vascular International BVBA;;I;Ja;
68ea2a6aaff236ddbbac55c3;Ultreon™;;5f7b000eedba93118be9d1fd;Software, Kardiologie;;Ja;SW 2.0;68ea2a35aa7e4768740f35cb;Abbott Vascular International BVBA;;;Nein;;Abbott Vascular International BVBA;;I;Ja;
5f7b10a6edba93118beaad75;Ultrospec 3000;;5f7affa4edba93118be9d0f5;Labor, Photometer;;Ja;;64b65385f5fc38000e51bfd3;Biochrom Ltd.;;;Ja;;GE Healthcare GmbH;;I;Ja;
5f7b10a6edba93118beaad7f;Ultrospec 3100 pro;;5f7affa4edba93118be9d0f5;Labor, Photometer;;Ja;;64b65385f5fc38000e51bfd3;Biochrom Ltd.;;;Ja;;GE Healthcare GmbH;;I;Ja;
5f7b10a8edba93118beaad95;Ultrospec 7000;;5f7affa4edba93118be9d0f5;Labor, Photometer;;Ja;;64b65385f5fc38000e51bfd3;Biochrom Ltd.;;;Ja;;GE Healthcare GmbH;;I;Ja;
5f7b10a6edba93118beaad77;Ultrospec II;;5f7affa4edba93118be9d0f5;Labor, Photometer;;Ja;;64b65385f5fc38000e51bfd3;Biochrom Ltd.;;;Ja;;GE Healthcare GmbH;;I;Ja;
5f7b10b0edba93118beaae02;UniPort;;5f7afff1edba93118be9d1b3;Deckenversorgungseinheit;;Ja;;64b65384f5fc38000e51bfa6;Baxter Medical Systems GmbH & Co. KG;;;Ja;0123;Baxter Medical Systems GmbH & Co. KG;;I;Ja;
5f7b10acedba93118beaadc6;Unicart II;;5f7affdbedba93118be9d17b;Gerätewagen;;Ja;;64b6cda816691d00245509b3;Marquette Hellige GmbH;;;Ja;;GE Healthcare Technologies GmbH;;I;Ja;
5f7b10afedba93118beaadf2;Unigeldryer 4050 M;;5f7affbaedba93118be9d12f;Labor, Laborgerät;;Ja;;64b653c3f5fc38000e51c8ed;UniEquip Laborgerätebau und Vertriebs GmbH;;;Ja;;UniEquip Laborgerätebau und Vertriebs GmbH;;I;Ja;
5f7b044bedba93118be9f7c8;Universal Battery Charger II (05.001.204);;5f7affafedba93118be9d113;Netzteil/Ladegerät;;Ja;;64b653b8f5fc38000e51c773;SYNTHES GmbH;;;Ja;0123;SYNTHES GmbH;;I;Ja;07611819977846
5f7b10b5edba93118beaae4b;Universal K2 S;;5f7affbcedba93118be9d133;Zentrifuge;;Ja;;64b6539af5fc38000e51c323;Andreas Hettich GmbH;;;Ja;;Andreas Hettich GmbH;;I;Ja;
5f7b10baedba93118beaae8c;Untersuchungseinheit / Augen;;5f7afffbedba93118be9d1cd;Untersuchungsgerät, Augen;;Ja;;687c112f5c3947286838f0a5;NIDEK Co., Ltd.;;;Ja;;NIDEK Co., Ltd.;;I;Ja;
69021b1736c3e1e993d38b28;V 355;;5f7affaaedba93118be9d106;Mikroskop;;Ja;;64b6ce0416691d0024550a4e;Will;;;Ja;;Helmut Hund GmbH;;I;Ja;
5f7b10dfedba93118beab08c;V 365;;5f7affaaedba93118be9d106;Mikroskop;;Ja;;64b6ce0416691d0024550a4e;Will;;;Ja;;Helmut Hund GmbH;;I;Ja;
